currency_pair_cd,execution_dt,execution_id,execution_price,filled_quantity,id,is_cs,markup,open_close,order_id,original_price,sequence_number,side,update_date
BTC_JPY,'2018-11-29 00:04:05,'2018112900014921520,467189,0.003,6526330,1,0,,'2018112900106709419,0,115906,1,'2018-11-29 09:04:05
BTC_JPY,'2018-11-29 00:04:20,'2018112900014921526,466718.22,0.04,6526331,0,0,,'2018112900106709425,0,115907,1,'2018-11-29 09:04:20
BTC_JPY,'2018-11-29 00:04:32,'2018112900014921530,466718.22,0.39,6526332,0,0,,'2018112900106709427,0,115908,1,'2018-11-29 09:04:32
BTC_JPY,'2018-11-29 00:04:45,'2018112900014921537,466145,0.01,6526333,1,0,,'2018112900106709431,0,115909,3,'2018-11-29 09:04:45
BTC_JPY,'2018-11-29 00:04:45,'2018112900014921537,466145,0.01,6526334,1,0,,'2018112900106709428,0,115910,1,'2018-11-29 09:04:45
BTC_JPY,'2018-11-29 00:04:51,'2018112900014921542,466718,0.003,6526339,1,0,,'2018112900106709433,0,115911,3,'2018-11-29 09:04:51
BTC_JPY,'2018-11-29 00:04:51,'2018112900014921542,466718,0.003,6526340,1,0,,'2018112900106709429,0,115912,1,'2018-11-29 09:04:51
BTC_JPY,'2018-11-29 00:05:17,'2018112900014921549,465715.26,3,6526351,0,0,,'2018112900106709437,0,115913,1,'2018-11-29 09:05:17
BTC_JPY,'2018-11-29 00:05:20,'2018112900014921551,465715.26,0.01,6526352,0,0,,'2018112900106709438,0,115914,1,'2018-11-29 09:05:20
BTC_JPY,'2018-11-29 00:05:27,'2018112900014921554,465715.26,0.61,6526353,0,0,,'2018112900106709439,0,115915,1,'2018-11-29 09:05:27
BTC_JPY,'2018-11-29 00:05:35,'2018112900014921556,465715.26,0.009004280000000198,6526354,0,0,,'2018112900106709440,0,115916,1,'2018-11-29 09:05:35
BTC_JPY,'2018-11-29 00:05:35,'2018112900014921558,465004.67,0.001,6526355,0,0,,'2018112900106708998,0,115917,1,'2018-11-29 09:05:35
BTC_JPY,'2018-11-29 00:06:14,'2018112900014921568,465000,0.9,6526381,1,0,,'2018112900106709445,0,115918,1,'2018-11-29 09:06:14
BTC_JPY,'2018-11-29 00:06:14,'2018112900014921568,465000,0.9,6526382,1,0,,'2018112800106705643,0,115919,3,'2018-11-29 09:06:14
BTC_JPY,'2018-11-29 00:06:26,'2018112900014921576,465000,0.0010000000000000009,6526397,1,0,,'2018112900106709449,0,8111,1,'2018-11-29 09:06:26
BTC_JPY,'2018-11-29 00:06:26,'2018112900014921576,465000,0.0010000000000000009,6526398,1,0,,'2018112800106705643,0,8112,3,'2018-11-29 09:06:26
BTC_JPY,'2018-11-29 00:06:26,'2018112900014921577,465000,0.007,6526399,1,0,,'2018112900106709449,0,8113,1,'2018-11-29 09:06:26
BTC_JPY,'2018-11-29 00:06:26,'2018112900014921577,465000,0.007,6526400,1,0,,'2018112900106709148,0,8114,3,'2018-11-29 09:06:26
BTC_JPY,'2018-11-29 00:06:33,'2018112900014921580,464250.88,0.02,6526407,0,0,,'2018112900106709450,0,115920,1,'2018-11-29 09:06:33
BTC_JPY,'2018-11-29 00:06:53,'2018112900014921583,465000,0.032,6526420,1,0,,'2018112900106709452,0,115921,3,'2018-11-29 09:06:53
BTC_JPY,'2018-11-29 00:06:53,'2018112900014921583,465000,0.032,6526421,1,0,,'2018112900106709449,0,115922,1,'2018-11-29 09:06:53
BTC_JPY,'2018-11-29 00:06:53,'2018112900014921584,465190.53,1.538,6526422,0,0,,'2018112900106709452,0,115923,3,'2018-11-29 09:06:53
BTC_JPY,'2018-11-29 00:07:24,'2018112900014921593,465715,0.01,6526439,1,0,,'2018112900106709456,0,115924,3,'2018-11-29 09:07:24
BTC_JPY,'2018-11-29 00:07:24,'2018112900014921593,465715,0.01,6526440,1,0,,'2018112900106709440,0,115925,1,'2018-11-29 09:07:24
BTC_JPY,'2018-11-29 00:07:25,'2018112900014921596,465715,0.002,6526442,1,0,,'2018112900106709457,0,115926,3,'2018-11-29 09:07:25
BTC_JPY,'2018-11-29 00:07:25,'2018112900014921596,465715,0.002,6526443,1,0,,'2018112900106709440,0,115927,1,'2018-11-29 09:07:25
BTC_JPY,'2018-11-29 00:07:41,'2018112900014921602,465715,0.0189957199999998,6526448,1,0,,'2018112900106709459,0,115928,3,'2018-11-29 09:07:41
BTC_JPY,'2018-11-29 00:07:41,'2018112900014921602,465715,0.0189957199999998,6526449,1,0,,'2018112900106709440,0,115929,1,'2018-11-29 09:07:41
BTC_JPY,'2018-11-29 00:07:41,'2018112900014921603,466347.25,0.00023979,6526450,0,0,,'2018112900106709459,0,115930,3,'2018-11-29 09:07:41
BTC_JPY,'2018-11-29 00:07:41,'2018112900014921604,466718,0.000764490000000201,6526451,1,0,,'2018112900106709459,0,115931,3,'2018-11-29 09:07:41
BTC_JPY,'2018-11-29 00:07:41,'2018112900014921604,466718,0.000764490000000201,6526452,1,0,,'2018112900106709429,0,115932,1,'2018-11-29 09:07:41
BTC_JPY,'2018-11-29 00:07:56,'2018112900014921612,466338.25,0.00058153,6526455,0,0,,'2018112900106709462,0,115933,3,'2018-11-29 09:07:56
BTC_JPY,'2018-11-29 00:07:56,'2018112900014921613,466751.48,0.01741847,6526456,0,0,,'2018112900106709462,0,115934,3,'2018-11-29 09:07:56
BTC_JPY,'2018-11-29 00:08:12,'2018112900014921624,467409.2,0.00096339,6526466,0,0,,'2018112900106709468,0,115935,3,'2018-11-29 09:08:12
BTC_JPY,'2018-11-29 00:08:12,'2018112900014921625,467785.51,0.00003661000000000007,6526467,0,0,,'2018112900106709468,0,115936,3,'2018-11-29 09:08:12
BTC_JPY,'2018-11-29 00:08:15,'2018112900014921628,467785.51,0.2,6526468,0,0,,'2018112900106709470,0,115937,3,'2018-11-29 09:08:15
BTC_JPY,'2018-11-29 00:08:27,'2018112900014921634,466856.79,0.0015,6526469,0,0,,'2018112900106709473,0,115938,3,'2018-11-29 09:08:27
BTC_JPY,'2018-11-29 00:08:38,'2018112900014921638,466856.79,0.0001,6526471,0,0,,'2018112900106709476,0,115939,3,'2018-11-29 09:08:38
BTC_JPY,'2018-11-29 00:08:55,'2018112900014921643,466856.79,0.0003,6526476,0,0,,'2018112900106709477,0,115940,3,'2018-11-29 09:08:55
BTC_JPY,'2018-11-29 00:09:10,'2018112900014921648,466856.79,3,6526482,0,0,,'2018112900106709480,0,115941,3,'2018-11-29 09:09:10
BTC_JPY,'2018-11-29 00:12:23,'2018112900014921709,467395.81,0.01,6526498,0,0,,'2018112900106709510,0,115942,1,'2018-11-29 09:12:23
BTC_JPY,'2018-11-29 00:13:13,'2018112900014921725,467012,0.003,6526499,1,0,,'2018112900106709519,0,115943,3,'2018-11-29 09:13:13
BTC_JPY,'2018-11-29 00:13:13,'2018112900014921725,467012,0.003,6526500,1,0,,'2018112900106709516,0,115944,1,'2018-11-29 09:13:13
BTC_JPY,'2018-11-29 00:13:50,'2018112900014921735,467012,0.01,6526501,1,0,,'2018112900106709524,0,115945,3,'2018-11-29 09:13:50
BTC_JPY,'2018-11-29 00:13:50,'2018112900014921735,467012,0.01,6526502,1,0,,'2018112900106709516,0,115946,1,'2018-11-29 09:13:50
BTC_JPY,'2018-11-29 00:13:52,'2018112900014921738,467012,0.01,6526503,1,0,,'2018112900106709525,0,115947,3,'2018-11-29 09:13:52
BTC_JPY,'2018-11-29 00:13:52,'2018112900014921738,467012,0.01,6526504,1,0,,'2018112900106709516,0,115948,1,'2018-11-29 09:13:52
BTC_JPY,'2018-11-29 00:13:55,'2018112900014921741,467012,0.01,6526505,1,0,,'2018112900106709526,0,115949,3,'2018-11-29 09:13:55
BTC_JPY,'2018-11-29 00:13:55,'2018112900014921741,467012,0.01,6526506,1,0,,'2018112900106709516,0,115950,1,'2018-11-29 09:13:55
BTC_JPY,'2018-11-29 00:14:01,'2018112900014921745,467012,0.006999999999999994,6526507,1,0,,'2018112900106709529,0,115951,3,'2018-11-29 09:14:01
BTC_JPY,'2018-11-29 00:14:01,'2018112900014921745,467012,0.006999999999999994,6526508,1,0,,'2018112900106709516,0,115952,1,'2018-11-29 09:14:01
BTC_JPY,'2018-11-29 00:14:13,'2018112900014921754,468268.72,0.0011,6526509,0,0,,'2018112900106709535,0,115953,3,'2018-11-29 09:14:13
BTC_JPY,'2018-11-29 00:16:39,'2018112900014921791,468916.96,0.00036551,6526524,0,0,,'2018112900106709553,0,115954,3,'2018-11-29 09:16:39
BTC_JPY,'2018-11-29 00:16:39,'2018112900014921792,469109.46,0.191698,6526525,0,0,,'2018112900106709553,0,115955,3,'2018-11-29 09:16:39
BTC_JPY,'2018-11-29 00:16:39,'2018112900014921793,469723.76,0.32893649,6526526,0,0,,'2018112900106709553,0,115956,3,'2018-11-29 09:16:39
BTC_JPY,'2018-11-29 00:17:27,'2018112900014921808,469723.76,0.005,6526537,0,0,,'2018112900106709560,0,115957,3,'2018-11-29 09:17:27
BTC_JPY,'2018-11-29 00:19:08,'2018112900014921844,469025.27,0.00028854,6526540,0,0,,'2018112900106709577,0,115958,3,'2018-11-29 09:19:08
BTC_JPY,'2018-11-29 00:19:08,'2018112900014921845,469064.98,0.00971146,6526541,0,0,,'2018112900106709577,0,115959,3,'2018-11-29 09:19:08
BTC_JPY,'2018-11-29 00:20:57,'2018112900014921880,468070,0.04,6526560,1,0,,'2018112900106709592,0,115960,3,'2018-11-29 09:20:57
BTC_JPY,'2018-11-29 00:20:57,'2018112900014921880,468070,0.04,6526561,1,0,,'2018112900106709586,0,115961,1,'2018-11-29 09:20:57
BTC_JPY,'2018-11-29 00:21:18,'2018112900014921887,467895,0.01,6526562,0,0,,'2018112900106709593,0,115962,1,'2018-11-29 09:21:18
BTC_JPY,'2018-11-29 00:21:34,'2018112900014921894,468068.4,0.00028958,6526563,0,0,,'2018112900106709598,0,115963,1,'2018-11-29 09:21:34
BTC_JPY,'2018-11-29 00:21:34,'2018112900014921895,467259.7,0.00004507,6526564,0,0,,'2018112900106709598,0,115964,1,'2018-11-29 09:21:34
BTC_JPY,'2018-11-29 00:21:34,'2018112900014921896,466758.59,0.09966535000000001,6526565,1,0,,'2018112900106709598,0,115965,1,'2018-11-29 09:21:34
BTC_JPY,'2018-11-29 00:21:34,'2018112900014921896,466758.59,0.09966535000000001,6526566,1,0,,'2018112900106709597,0,115966,3,'2018-11-29 09:21:34
BTC_JPY,'2018-11-29 00:22:24,'2018112900014921916,468670.87,0.01,6526570,1,0,,'2018112900106709609,0,8115,3,'2018-11-29 09:22:24
BTC_JPY,'2018-11-29 00:22:24,'2018112900014921916,468670.87,0.01,6526571,1,0,,'2018112900106709604,0,8116,1,'2018-11-29 09:22:24
BTC_JPY,'2018-11-29 00:22:35,'2018112900014921920,468670.87,0.013,6526575,1,0,,'2018112900106709612,0,115967,3,'2018-11-29 09:22:35
BTC_JPY,'2018-11-29 00:22:35,'2018112900014921920,468670.87,0.013,6526576,1,0,,'2018112900106709604,0,115968,1,'2018-11-29 09:22:35
BTC_JPY,'2018-11-29 00:22:45,'2018112900014921922,468670.87,0.01,6526583,1,0,,'2018112900106709613,0,115969,3,'2018-11-29 09:22:45
BTC_JPY,'2018-11-29 00:22:45,'2018112900014921922,468670.87,0.01,6526584,1,0,,'2018112900106709604,0,115970,1,'2018-11-29 09:22:45
BTC_JPY,'2018-11-29 00:22:50,'2018112900014921924,468670.87,0.00088801,6526585,0,0,,'2018112900106709604,0,115971,1,'2018-11-29 09:22:50
BTC_JPY,'2018-11-29 00:22:53,'2018112900014921926,468670.87,0.01,6526586,1,0,,'2018112900106709614,0,115972,3,'2018-11-29 09:22:53
BTC_JPY,'2018-11-29 00:22:53,'2018112900014921926,468670.87,0.01,6526587,1,0,,'2018112900106709604,0,115973,1,'2018-11-29 09:22:53
BTC_JPY,'2018-11-29 00:22:57,'2018112900014921928,468670.87,0.01,6526588,1,0,,'2018112900106709615,0,115974,3,'2018-11-29 09:22:57
BTC_JPY,'2018-11-29 00:22:57,'2018112900014921928,468670.87,0.01,6526589,1,0,,'2018112900106709604,0,115975,1,'2018-11-29 09:22:57
BTC_JPY,'2018-11-29 00:22:59,'2018112900014921930,468670.87,0.01,6526590,1,0,,'2018112900106709616,0,115976,3,'2018-11-29 09:22:59
BTC_JPY,'2018-11-29 00:22:59,'2018112900014921930,468670.87,0.01,6526591,1,0,,'2018112900106709604,0,115977,1,'2018-11-29 09:22:59
BTC_JPY,'2018-11-29 00:23:03,'2018112900014921932,468670.87,0.01,6526592,1,0,,'2018112900106709617,0,115978,3,'2018-11-29 09:23:03
BTC_JPY,'2018-11-29 00:23:03,'2018112900014921932,468670.87,0.01,6526593,1,0,,'2018112900106709604,0,115979,1,'2018-11-29 09:23:03
BTC_JPY,'2018-11-29 00:23:07,'2018112900014921935,468670.87,0.01,6526594,1,0,,'2018112900106709619,0,115980,3,'2018-11-29 09:23:07
BTC_JPY,'2018-11-29 00:23:07,'2018112900014921935,468670.87,0.01,6526595,1,0,,'2018112900106709604,0,115981,1,'2018-11-29 09:23:07
BTC_JPY,'2018-11-29 00:23:11,'2018112900014921939,468670.87,0.01,6526598,1,0,,'2018112900106709620,0,115982,3,'2018-11-29 09:23:11
BTC_JPY,'2018-11-29 00:23:11,'2018112900014921939,468670.87,0.01,6526599,1,0,,'2018112900106709604,0,115983,1,'2018-11-29 09:23:11
BTC_JPY,'2018-11-29 00:23:22,'2018112900014921946,468670.87,0.005811990000000005,6526600,0,0,,'2018112900106709604,0,115984,1,'2018-11-29 09:23:22
BTC_JPY,'2018-11-29 00:23:25,'2018112900014921947,469500,0.06,6526601,0,0,,'2018112900106709581,0,115985,1,'2018-11-29 09:23:25
BTC_JPY,'2018-11-29 00:23:27,'2018112900014921949,469609.02,0.01,6526602,0,0,,'2018112900106709624,0,115986,1,'2018-11-29 09:23:27
BTC_JPY,'2018-11-29 00:23:34,'2018112900014921954,469609.02,0.00031544,6526603,0,0,,'2018112900106709627,0,115987,1,'2018-11-29 09:23:34
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921969,469559.02,0.00968456,6526604,1,0,,'2018112900106709635,0,115988,3,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921969,469559.02,0.00968456,6526605,1,0,,'2018112900106709627,0,115989,1,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921970,469559.02,0.01,6526606,1,0,,'2018112900106709635,0,115990,3,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921970,469559.02,0.01,6526607,1,0,,'2018112900106709629,0,115991,1,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921971,469609,0.04,6526608,1,0,,'2018112900106709635,0,115992,3,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921971,469609,0.04,6526609,1,0,,'2018112900106709628,0,115993,1,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:02,'2018112900014921972,470705.27,0.0003154399999999932,6526610,0,0,,'2018112900106709635,0,115994,3,'2018-11-29 09:24:02
BTC_JPY,'2018-11-29 00:24:55,'2018112900014921989,471687.29,0.2,6526621,0,0,,'2018112900106709643,0,115995,3,'2018-11-29 09:24:55
BTC_JPY,'2018-11-29 00:25:00,'2018112900014921992,470738.69,1.19,6526626,0,0,,'2018112900106709644,0,115996,1,'2018-11-29 09:25:00
